DEBUG 2021-10-19 10:25:03,537 1939493ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:40,112 2096068ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:45,168 2101125ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:45,169 2101125ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:49,507 2105464ms CountersAggregator     CallSite.Target    - Aggregating records in 'Counter' table...
DEBUG 2021-10-19 10:27:49,674 2105631ms CountersAggregator     CallSite.Target    - Records from the 'Counter' table aggregated.
DEBUG 2021-10-19 10:27:50,218 2106174ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:50,218 2106175ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:55,260 2111216ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:55,260 2111216ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:00,318 2116275ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:00,318 2116275ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:04,948 2120904ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:28:04,948 2120905ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:28:05,365 2121321ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:05,365 2121322ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:10,407 2126364ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:10,408 2126364ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:12,950 2128906ms RecurringJobScheduler  CallSite.Target    - Recurring job 'EnvioRegistroEMPLOYER' is being updated. RecurringJob: (Job:{"Type":"MonitorJobs.Negocio.EnviarRegistroPonto, MonitorJobs, Version=2.68.1984.1, Culture=neutral, PublicKeyToken=null","Method":"EnviarRegistroPontoCS","ParameterTypes":"[\"System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089\"]","Arguments":"[\"\\\"PONTOFOPAG_EMPLOYER\\\"\"]"};Cron:*/1 * * * *;TimeZoneId:UTC;Queue:pequeno;CreatedAt:2019-04-25T15:49:25.0485350Z;LastExecution:2021-10-19T13:27:04.0640471Z;LastJobId:504725;NextExecution:2021-10-19T13:28:00.0000000Z;V:2;RetryAttempt:0;Error:), Changes: (LastExecution:2021-10-19T13:28:10.8109865Z;NextExecution:2021-10-19T13:29:00.0000000Z;LastJobId:504726), NextExecution: (19/10/2021 13:29:00)
DEBUG 2021-10-19 10:28:15,367 2131323ms RecurringJobScheduler  CallSite.Target    - 1 recurring job(s) processed by scheduler.
DEBUG 2021-10-19 10:28:15,462 2131418ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:15,462 2131419ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:20,515 2136471ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:20,515 2136471ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:25,566 2141522ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:25,566 2141522ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:30,617 2146574ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:30,618 2146574ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:35,245 2151202ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:28:35,246 2151202ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:28:35,676 2151632ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:35,676 2151632ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:40,728 2156684ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:40,728 2156685ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:45,770 2161727ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:45,771 2161727ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:50,819 2166776ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:50,819 2166776ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:28:55,865 2171822ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:28:55,866 2171822ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:00,889 2176846ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:00,890 2176846ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:04,198 2180154ms RecurringJobScheduler  CallSite.Target    - Recurring job 'EnvioRegistroEMPLOYER' is being updated. RecurringJob: (Job:{"Type":"MonitorJobs.Negocio.EnviarRegistroPonto, MonitorJobs, Version=2.68.1984.1, Culture=neutral, PublicKeyToken=null","Method":"EnviarRegistroPontoCS","ParameterTypes":"[\"System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089\"]","Arguments":"[\"\\\"PONTOFOPAG_EMPLOYER\\\"\"]"};Cron:*/1 * * * *;TimeZoneId:UTC;Queue:pequeno;CreatedAt:2019-04-25T15:49:25.0485350Z;LastExecution:2021-10-19T13:28:10.8109865Z;LastJobId:504726;NextExecution:2021-10-19T13:29:00.0000000Z;V:2;RetryAttempt:0;Error:), Changes: (LastExecution:2021-10-19T13:29:02.0748297Z;NextExecution:2021-10-19T13:30:00.0000000Z;LastJobId:504727), NextExecution: (19/10/2021 13:30:00)
DEBUG 2021-10-19 10:29:05,471 2181427ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:29:05,471 2181427ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:29:05,945 2181901ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:05,945 2181902ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:06,346 2182302ms RecurringJobScheduler  CallSite.Target    - 1 recurring job(s) processed by scheduler.
DEBUG 2021-10-19 10:29:11,000 2186956ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:11,000 2186957ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:16,051 2192007ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:16,051 2192007ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:21,096 2197052ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:21,096 2197052ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:26,148 2202104ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:26,148 2202105ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:31,204 2207161ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:31,204 2207161ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:35,925 2211882ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:29:35,925 2211882ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:29:36,264 2212220ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:36,264 2212221ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:41,267 2217224ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:41,268 2217224ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:46,324 2222281ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:46,324 2222281ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:51,376 2227332ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:51,376 2227332ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:29:56,425 2232382ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:29:56,425 2232382ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:01,444 2237401ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:01,445 2237401ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:06,134 2242091ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:30:06,134 2242091ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:30:06,502 2242459ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:06,502 2242459ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:11,039 2246995ms RecurringJobScheduler  CallSite.Target    - Recurring job 'EnvioRegistroEMPLOYER' is being updated. RecurringJob: (Job:{"Type":"MonitorJobs.Negocio.EnviarRegistroPonto, MonitorJobs, Version=2.68.1984.1, Culture=neutral, PublicKeyToken=null","Method":"EnviarRegistroPontoCS","ParameterTypes":"[\"System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089\"]","Arguments":"[\"\\\"PONTOFOPAG_EMPLOYER\\\"\"]"};Cron:*/1 * * * *;TimeZoneId:UTC;Queue:pequeno;CreatedAt:2019-04-25T15:49:25.0485350Z;LastExecution:2021-10-19T13:29:02.0748297Z;LastJobId:504727;NextExecution:2021-10-19T13:30:00.0000000Z;V:2;RetryAttempt:0;Error:), Changes: (LastExecution:2021-10-19T13:30:08.9113186Z;NextExecution:2021-10-19T13:31:00.0000000Z;LastJobId:504728), NextExecution: (19/10/2021 13:31:00)
DEBUG 2021-10-19 10:30:11,558 2247515ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:11,558 2247515ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:13,153 2249109ms RecurringJobScheduler  CallSite.Target    - 1 recurring job(s) processed by scheduler.
DEBUG 2021-10-19 10:30:16,610 2252566ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:16,610 2252566ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:21,624 2257581ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:21,624 2257581ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:26,684 2262640ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:26,684 2262640ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:31,738 2267694ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:31,738 2267695ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:36,425 2272382ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:30:36,426 2272382ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:30:36,780 2272737ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:36,780 2272737ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:41,784 2277741ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:41,785 2277741ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:46,831 2282787ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:46,831 2282787ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:51,885 2287842ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:51,885 2287842ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:30:56,944 2292901ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:30:56,945 2292901ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:31:01,959 2297916ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:31:01,959 2297916ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:31:06,642 2302599ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:31:06,643 2302599ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:31:07,015 2302971ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:31:07,015 2302971ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:31:12,073 2308029ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
